Date,Time,cow-a (black),cow-a (black) (detection confidence),cow-a (black) (Activity confidence),cow-a (black) (iou),cow-a (black) (flag),cow-b (white-pattern),cow-b (white-pattern) (detection confidence),cow-b (white-pattern) (Activity confidence),cow-b (white-pattern) (iou),cow-b (white-pattern) (flag),cow-c (black-pattern),cow-c (black-pattern) (detection confidence),cow-c (black-pattern) (Activity confidence),cow-c (black-pattern) (iou),cow-c (black-pattern) (flag)
28/6/2024,17.40.22,stand,,0.716802299,0.547176554,3.1,stand,0.777334511,0.857872784,0.768202533,0,stand,0.775097966,0.902587056,0.913312797,0
28/6/2024,17.40.23,stand,,0.737250328,0.548514667,3.1,stand,0.777776539,0.854019046,0.769538489,0,stand,0.773254156,0.904611588,0.911480756,0
28/6/2024,17.40.24,stand,,0.756090641,0.530069555,3.1,stand,0.785292387,0.855924666,0.889028698,0,stand,0.787236214,0.90472132,0.901747284,0
28/6/2024,17.40.25,stand,,0.779803813,0.528924264,3.1,stand,0.785278618,0.853548944,0.890560539,0,stand,0.787774503,0.90467751,0.897816552,0
28/6/2024,17.40.26,stand,,0.774501145,0.528153538,3.1,stand,0.78097719,0.853907168,0.893031674,0,stand,0.785764039,0.906158745,0.907325515,0
28/6/2024,17.40.27,stand,,0.765233397,0.536659806,3.1,stand,0.77572,0.857190549,0.880206091,0,stand,0.788175344,0.906650603,0.910645761,0
28/6/2024,17.40.28,stand,,0.771166861,0.530485525,3.1,stand,0.779323637,0.855518699,0.8832059,0,stand,0.784722567,0.907395482,0.919352116,0
28/6/2024,17.40.29,stand,,0.761565328,0.546034211,3.1,stand,0.784340203,0.857140541,0.844654399,0,stand,0.772122204,0.904815018,0.914374158,0
28/6/2024,17.40.30,stand,,0.774138987,0.54504535,3.1,stand,0.785700977,0.853816509,0.856921806,0,stand,0.775157332,0.904211223,0.914053196,0
28/6/2024,17.40.31,stand,,0.778871953,0.642611836,3.1,stand,0.788509727,0.860074461,0.93448786,0,stand,0.776605725,0.900881052,0.956324691,0
28/6/2024,17.40.32,stand,,0.750045002,0.630318115,3.1,stand,0.793785989,0.864936054,0.910785461,0,stand,0.749293685,0.883139014,0.940206149,0
28/6/2024,17.40.33,stand,,0.660537899,0.648049518,3.1,stand,0.781231403,0.861277699,0.856134535,0,stand,0.740670562,0.855150461,0.860323853,0
28/6/2024,17.40.34,stand,,0.734455228,0.634047486,3.1,stand,0.762238324,0.848738909,0.839136329,0,stand,0.740283906,0.866431952,0.850994023,0
28/6/2024,17.40.35,stand,,0.640790164,0.630883937,3.1,stand,0.766487956,0.850689232,0.857114124,0,stand,0.831725538,0.86036706,0.887945969,0
28/6/2024,17.40.36,stand,,0.756380737,0.554633742,3.1,stand,0.780295849,0.853843272,0.843973239,0,stand,0.811525524,0.863217056,0.917855945,0
28/6/2024,17.40.37,stand,,0.75530988,0.552741601,3.1,stand,0.778450847,0.849655151,0.862581818,0,stand,0.810406506,0.885962486,0.879753857,0
28/6/2024,17.40.38,stand,,0.781870008,0.554539456,3.1,stand,0.776941061,0.849566638,0.843891513,0,stand,0.796444774,0.881813228,0.896547402,0
28/6/2024,17.40.39,stand,,0.798930168,0.536730867,3.1,stand,0.774029434,0.846937776,0.862584911,0,stand,0.802916169,0.895219803,0.943015461,0
28/6/2024,17.40.40,stand,,0.789174855,0.541802826,3.1,stand,0.76423341,0.849516034,0.821074112,0,stand,0.805642605,0.892517984,0.941645943,0
28/6/2024,17.40.41,stand,,0.786111593,0.537653671,3.1,stand,0.764716268,0.862412214,0.830263244,0,stand,0.815812409,0.904557168,0.979989185,0
28/6/2024,17.40.42,stand,,0.78576982,0.536720889,3.1,stand,0.772411644,0.853864551,0.831995438,0,stand,0.801265299,0.898655057,0.941276708,0
28/6/2024,17.40.43,stand,,0.770136595,0.532141707,3.1,stand,0.762338758,0.851447165,0.847593229,0,stand,0.793864012,0.895704329,0.915442888,0
28/6/2024,17.40.44,stand,,0.771120191,0.53751374,3.1,stand,0.736517191,0.852753758,0.812878488,0,stand,0.814025521,0.878425241,0.958894916,0
28/6/2024,17.40.45,propping,,0.34650147,0.496213865,3.1,stand,0.736178696,0.839684725,0.969302387,0,stand,0.801619947,0.893047035,0.935688388,0
28/6/2024,17.40.46,stand,,0.589107156,0.494373176,3.1,stand,0.736387074,0.846383393,0.935872268,0,stand,0.814442694,0.900395155,0.901640073,0
28/6/2024,17.40.47,stand,,0.568198442,0.497711107,3.1,stand,0.737265229,0.868976474,0.931041824,0,stand,0.805613935,0.894276023,0.915375324,0
28/6/2024,17.40.48,stand,,0.664721429,0.486005912,3.1,stand,0.753261387,0.867195487,0.896053899,0,stand,0.811021507,0.90175271,0.889906277,0
28/6/2024,17.40.49,stand,,0.631463826,0.491344647,3.1,stand,0.768075228,0.84542942,0.787402154,0,stand,0.831737638,0.909898281,0.954948671,0
28/6/2024,17.40.50,propping,,0.372193605,0.496375562,3.1,stand,0.764815748,0.841287255,0.805023254,0,stand,0.836331308,0.911279321,0.951171491,0
28/6/2024,17.40.51,stand,,0.558373928,0.526231099,3.1,stand,0.794412374,0.87604636,0.859745893,0,stand,0.766003549,0.90230912,0.93742233,0
28/6/2024,17.40.52,stand,,0.259399623,0.519453294,3.1,stand,0.823674381,0.788447022,0.616039189,0,stand,0.767384052,0.884449363,0.927727524,0
28/6/2024,17.40.53,maybe stand (0.74),,,0,3.2,stand,0.831979334,0.887183726,0.875825782,0,stand,0.78464812,0.885875642,0.951647892,0
28/6/2024,17.40.54,"Detect Identity, not activity",0.56412524,,0,1.2,stand,0.794250548,0.772484243,0.860471939,0,stand,0.809482574,0.901930869,0.950956343,0
28/6/2024,17.40.55,stand,0.733088732,0.831125677,0.883815911,0,stand,0.805392683,0.786701262,0.856747601,0,stand,0.809576929,0.900438726,0.923355117,0
28/6/2024,17.40.56,stand,0.630787492,0.847248912,0.814865766,0,stand,0.749681473,0.746516347,0.782311296,0,stand,0.809163749,0.896217644,0.922751741,0
28/6/2024,17.40.57,stand,0.614429653,0.847248912,0.855497927,1.1,stand,0.793378234,0.782558978,0.799803282,0,stand,0.690921009,0.87938273,0.911356971,0
28/6/2024,17.40.58,stand,,0.832603037,0.728937381,3.1,propping,0.822483122,0.789497018,0.898365229,0,stand,0.81011039,0.895484149,0.917932871,0
28/6/2024,17.40.59,stand,,0.665733874,0.485784475,3.1,stand,0.797143877,0.805735171,0.714559933,0,stand,0.80810982,0.899907649,0.914058408,0
28/6/2024,17.41.00,stand,0.793930233,0.802412927,0.69662226,0,stand,0.815067172,0.838796198,0.846270198,0,stand,0.830297947,0.906755269,0.918127537,0
28/6/2024,17.41.01,stand,,0.461639225,0.494068282,3.1,propping,0.671764255,0.8414433,0.701577893,0,stand,0.812199712,0.889270902,0.890304692,0
28/6/2024,17.41.02,stand,0.80117023,0.806908369,0.711861025,0,propping,0.756290793,0.602219641,0.774132079,0,stand,0.812467813,0.886392832,0.916820436,0
